[1984 1928   84 2336]
[   3   -1  142 1949]
[   2 2114 1780   -1]
[1865    8 1575 2275]
[1433 2142 1919   56]
[2286 1709   38 1875]
[2089 1542  104   34]
[   4  169 2307 1663]
[ 103 1691 1572   -1]
[2255   -1 1983  124]
[118 144 280  89]
[ 656 1866 1979 1969]
[ 866  138 1668 2099]
[1000   95 2006 1939]
[2204 1612   18  290]
[2223 1888 1504   55]
[2140 1170 2227 1918]
[  15 1729 2030 1816]
[1300 2335 2073 1889]
[1789  165 1899   -1]
[  -1 1700 1978 1604]
[ 109 2016  139  438]
[1755 1924 1981  344]
[1694  200   48 1681]
[1689 1665 1812 2020]
[1995  416  164 1676]
[2059  112 1870  336]
[2330 1908 1454  152]
[2128 2170 2057   85]
[2048  117 1592 1938]
[1808  304 1880 1757]
[2235 2184 2029 2091]
[2127 1987 2341 1567]
[1879    7 2108 2329]
[  -1 1572 1880  304]
[2159   -1   70 1909]
[  -1 2141 1904 2269]
[   6  258 1862 2076]
[1901 2332 2009  117]
[2153 1876 1660 1349]
[2044 1972 1857  516]
[ 866 2099  753   -1]
[1730 1425 1661 2032]
[1789   -1 1560 1969]
[1046  110 1839 2251]
[1969 1878  384  656]
[ 506 1813  189 1776]
[  24  330 1741 1828]
[ 175 2209 1903 2315]
[1698 1860 2041 2218]
[2116 2190 1811 1887]
[1670 2333   -1  287]
[2038 1971 2011 1140]
[1895  243   58 1849]
[ 68 145  16 403]
[ 88   5 311 250]
[1882 2037   92  109]
[2026   54  462 1701]
[1726 1757 1880 2238]
[1704  182 1708  154]
[ 347 2111 1974 2300]
[2069 2112 2196 1931]
[1772 2102 1906  285]
[1890   -1   82  118]
[  -1 2314   75   94]
[2045  619 2301 1790]
[2078 2015   87  315]
[  55 1915 1981 1723]
[2043 1982 1851 2224]
[  36   -1 2108 2051]
[1898   -1   81 2310]
[126 190 504 503]
[2343 2342   90   86]
[2093 2244 2283 1742]
[2020  224   65 2182]
[1045  285 1906   -1]
[2091 2050 2223 2272]
[ 753 1783  326   -1]
[ 409  154 1708 1947]
[1626  225   -1 1068]
[  71   -1 1525 1554]
[  64   -1 1623  136]
[1560   -1  200 1694]
[2334    1 1858 1983]
[  29 2110   -1   -1]
[  73   87 2015  424]
[315  67  86  90]
[1433   56 1295   -1]
[1905 2146 1890   11]
[  87   73  108 1449]
[ 599  905 1948  625]
[245  -1 172  57]
[1876  300 2213 1660]
[ 224 1851   -1   65]
[1023 1711 2068   14]
[ 427 2129 1725  105]
[2074 2259 2249 1894]
[2062 2072 1916 2316]
[ 125 2276 2055 2013]
[1310   -1 1550 2036]
[1177  924  106 2139]
[1704  166  158  182]
[   9   -1 1735 2229]
[   7 2202 2051 2108]
[  96  284 2205  530]
[2037 2241 2331  101]
[1138  132 1971  216]
[221  -1 176  90]
[1837   57  172   22]
[ 196 1935 2094   45]
[1626 1068 2279 2082]
[1310 2036   27 2158]
[1188   -1 1138  216]
[1797 1573 2087 2277]
[2279 1068   -1 1076]
[ 282 2121 1750 1838]
[1855   39 1515   30]
[ 64 136 144  11]
[1952 2256 2008 2109]
[2070 2057 2040 2208]
[1957 2117 2221 2014]
[  -1 1428  217 1248]
[ 148 2113 2231   -1]
[2060 2255   10 2265]
[2276   99  489  139]
[ 395 1802 1874   72]
[ 919 1836 1180 1344]
[ 173  243 1942   -1]
[ 207 2066 2313 1796]
[ 148   -1 2323 2324]
[1836 1500  140 2273]
[2342 2321  107 1153]
[2288 1871 2138 2003]
[2019 2080  146   -1]
[1571   -1 1643 2187]
[2174 2230  118   82]
[1618 1891 1802 1963]
[2312   13 1471 2084]
[ 438   22 1967  125]
[2211 1959  131 1911]
[ 536   -1  151 2290]
[2152  358    2   -1]
[163 153 220 234]
[  11  118 1990 1734]
[1723   -1  320   55]
